SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
PRMT7,1.050045548,-0.152211934,-0.158529125,0,cluster1,,0,1,0,0,0
CETN3,4.561279621,0,-0.158165866,0.260385953,cluster1,,0,1,0,0,0
LACRT,1.138151293,0.034205306,-0.153791247,0,cluster1,,0,0,0,0,0
SERTAD2,5.530397833,-0.736876987,-0.14999044,4.581064655,cluster1,,1,0,0,0,0
MARS2,1.403206648,-0.118782232,-0.148973878,-0.155081574,cluster1,,0,1,0,0,0
TP53AIP1,1.679705179,0.042414563,-0.148629321,0,cluster1,,0,0,0,0,0
PLD3,4.561279621,4.183748551,-0.075156135,-0.133787776,cluster1,,0,0,0,0,0
ZNF821,1.139668549,-0.0616693,-0.147000562,0.794884425,cluster1,,0,0,1,0,0
GALNT11,1.132752853,0.339705062,-0.14581966,0.617102987,cluster1,,0,1,0,0,0
EDNRB,2.198152966,0.196758781,0.289685207,-0.133641742,cluster1,,0,0,0,0,0
ZBTB1,1.02895678,0.039327182,-0.140767314,0,cluster1,,0,1,0,0,0
NHS,3.263083527,-0.368699455,-0.1396457,0.137058241,cluster1,,0,1,0,0,0
VPS8,1.209044256,-0.202803276,-0.1384989,0.828855713,cluster1,,0,0,0,0,0
SF3B5,1.512207758,-0.20265672,-0.137954228,-0.369565846,cluster1,,0,0,0,0,0
RCN2,4.561279621,0,-0.137909907,0,cluster1,,0,1,0,0,0
NSD3,4.960958855,0.189555551,-0.137791782,0,cluster1,,1,0,0,0,0
ERAP1,4.561279621,1.098258531,-0.136044228,0.840852519,cluster1,,0,0,0,0,0
LIG1,4.561279621,0,-0.128059834,3.11187958,cluster1,,0,0,0,0,0
SFXN5,1.002367046,-0.202649819,-0.125196228,-3.231044725,cluster1,,0,0,0,0,0
TSPEAR,2.0029488,0.693824707,-0.125144486,-0.34348288,cluster1,,0,0,0,0,0
SFTPA1,1.361680756,0.225238123,0.156439097,-0.131698847,cluster1,,0,0,0,0,0
SERPINA5,4.561279621,0.505208938,-0.121110145,0.590941033,cluster1,,0,0,0,0,0
EIF3K,1.191460027,-0.280077081,-0.120277767,4.581064655,cluster1,,0,1,0,0,0
TBXAS1,1.879264062,-0.352673006,-0.117888816,-1.040218883,cluster1,,0,0,0,1,0
ATP6V0A1,1.555950155,0.000403961,-0.115641884,0,cluster1,,1,1,0,0,0
OAS1,1.031585525,0.258893104,-1.24208554,-0.131315166,cluster3,,0,0,0,0,0
POLR3H,1.296910267,-0.058593909,-0.113843737,3.11187958,cluster1,,0,1,0,0,0
ZNF287,1.64742185,-0.924253659,-0.111326688,3.11187958,cluster1,,0,1,0,0,0
DYSF,1.038056537,-0.012391124,3.286805581,-0.130781756,cluster3,,0,1,0,0,0
PGAP2,4.561279621,3.261026801,-0.102751703,-0.129989722,cluster1,,0,0,1,0,0
DCUN1D5,1.838803291,0.459949472,-0.099989512,-0.119165145,cluster1,,0,0,0,1,0
CDK6,2.373501135,-0.091492253,-0.097487253,-0.133685877,cluster1,,0,1,0,0,0
TMOD3,2.289630317,0.001041164,-0.097047103,0.071760254,cluster1,,0,0,0,0,0
GTF2F2,1.002862375,-0.124140911,-0.096151631,-1.426649514,cluster1,,0,0,0,0,0
TBC1D3K,4.561279621,-0.736876987,-0.094859038,0.17441032,cluster1,,0,0,0,0,0
APOC2,1.341462054,0.252786358,-0.092540632,-0.430157404,cluster1,,0,0,0,0,0
HEATR6,1.322362379,0.149753641,-0.064518895,-0.119165145,cluster1,,0,0,0,0,0
STRA8,1.328176436,-0.21130826,-0.087547119,-0.443544127,cluster1,,0,0,0,0,0
ZNF534,1.365106828,0.778392228,-0.084583446,0.161860307,cluster1,,0,0,0,0,0
CMTM2,3.581852559,-0.788479524,-0.083783783,3.11187958,cluster1,,0,0,0,0,0
DSN1,1.201262082,0.697879415,-0.083591196,0,cluster1,,1,1,0,0,0
TP53,1.782812145,-1.691005627,-0.077212576,-0.119165145,cluster1,,1,1,0,0,0
DYNC1LI2,1.492696259,0.503660474,-0.076816237,0,cluster1,,0,1,0,0,0
LRAT,2.278775903,0.185844764,0.592904026,-0.119165145,cluster1,,0,1,0,0,0
GEMIN6,4.561279621,1.098258531,-0.075151128,-0.843433648,cluster1,,0,0,1,0,0
JOSD2,2.216783842,1.055346411,-0.071005152,1.35001993,cluster1,,0,0,0,0,0
TUB,2.193899735,0.992863904,-0.070980277,4.02592915,cluster1,,0,1,0,0,0
ACOX3,1.171475477,1.055346411,-0.069194522,-0.119165145,cluster1,,0,0,0,0,0
MYCL,1.107173821,0.460293849,1.107873471,-0.119165145,cluster3,,0,0,0,1,0
KCNV2,4.960958855,0.175536781,-0.068957696,4.02592915,cluster1,,0,0,0,0,0
RYR1,1.153848047,0.435995422,-0.068096913,-0.139023761,cluster1,,0,0,0,0,0
ADAL,1.676637851,-0.312064956,-0.064768402,4.02592915,cluster1,,0,1,0,0,0
TOMM22,2.496702178,-2.003581795,4.210932547,-0.119165145,cluster1,,0,1,0,0,0
PGAM1,4.960958855,-0.377874949,-0.063725969,-0.129687472,cluster1,,0,0,0,0,0
RAD54L2,1.560366521,0.42804979,0,-0.083026695,cluster1,,0,0,1,0,0
KIF3C,1.908484872,0.134124913,-0.062016477,0,cluster1,,0,1,0,0,0
TMEM269,1.658714917,0.859786472,-0.056473405,-0.24704598,cluster1,,0,0,0,0,0
EDEM3,1.008121792,0.111754493,-0.053546535,0,cluster1,,0,0,0,0,0
NEFH,1.094010089,-0.302179191,-0.050599605,0,cluster1,,0,0,1,0,0
NOP53,2.278775903,3.261026801,-0.049385036,-1.040218883,cluster1,,0,1,0,0,0
ZNF536,4.561279621,3.261026801,-0.049129841,0.145042073,cluster1,,0,0,0,0,0
DENND2A,4.561279621,-1.291421205,-0.048336274,3.11187958,cluster1,,0,0,0,0,0
ZFP90,1.22659515,0.277918695,-0.042207278,-0.689706851,cluster1,,0,0,0,0,0
